Kp_Saat_Ini,Ki_Saat_Ini,Kd_Saat_Ini,Overshoot_Riil,RiseTime_Riil,SettlingTime_Riil,SteadyStateError,Is_Stable,Rekomendasi_Aksi
14.3892609646069,27.9374715636025,7.99851727135939,4.03778870974114,0.0868310610136566,1.96555014880359,2.22044604925031e-16,1,SISTEM_SUDAH_IDEAL
16.6537367998618,22.1225852985949,5.67439883879176,3.65890016738935,0.088426856945411,1.75384344190459,1.11022302462516e-16,1,SISTEM_SUDAH_IDEAL
0.903183357457871,12.7654366481308,0.293784350191676,999,999,999,1,0,TURUNKAN_KP_DAN_KI
39.3088330374165,29.4244451509111,6.89944192745695,1.4040465107142,0.081840512309003,0.110568262120438,2.22044604925031e-16,1,SISTEM_SUDAH_IDEAL
39.0842689020362,17.9393553026966,2.84609461712204,9.39016002556616,0.0815730330047778,0.37808880209787,3.33066907387547e-16,1,SISTEM_SUDAH_IDEAL
37.4127408526122,20.8162274316181,4.42523147513293,3.14422661383729,0.081836023179238,0.366790276642267,0,1,SISTEM_SUDAH_IDEAL
21.0564154074454,4.52314126259338,5.40292024958021,0.690101206899252,0.0874975671866265,0.371274634733165,1.11022302462516e-16,1,SISTEM_SUDAH_IDEAL
9.91801331810216,22.4754801478897,7.15660247509676,5.32956556363238,0.0888021289626617,2.25471910406138,3.33066907387547e-16,1,SISTEM_SUDAH_IDEAL
35.3248521726272,22.088620594042,6.56687144816026,1.28352370007758,0.0826749735382745,0.145171718561485,2.22044604925031e-16,1,SISTEM_SUDAH_IDEAL
44.6548073442544,14.7323852973598,3.41777207792887,7.25936472188877,0.0791063057618637,0.338362602859175,2.22044604925031e-16,1,SISTEM_SUDAH_IDEAL
48.235436878943,3.74832962906149,2.08612260908165,14.7171466752514,0.0774930745146731,0.294050839399253,7.04106661864046e-09,1,SISTEM_SUDAH_IDEAL
7.84850855706566,24.2281459673147,0.673665741623887,33.5971167776179,0.209647891842778,1.61924589590577,2.22044604925031e-16,1,TURUNKAN_KP_ATAU_NAIKKAN_KD
24.6301588852743,17.9525452649543,3.65020173235539,2.54516676316918,0.0882729344507585,0.90428637701593,0,1,SISTEM_SUDAH_IDEAL
34.5279455534287,25.7072143593116,9.00638468315614,1.32031653471278,0.0830266934245235,0.194319784425286,0,1,SISTEM_SUDAH_IDEAL
47.6747771573735,27.0014047195185,0.0653692660244798,54.9701503628322,0.08236381806226,1.30479209627161,2.22044604925031e-16,1,TURUNKAN_KP_ATAU_NAIKKAN_KD
2.19661016180975,26.1267653199282,4.44400581676349,16.7346376314203,0.31177300918864,15.9248959445755,1.05838338093633e-10,1,SISTEM_SUDAH_IDEAL
22.2270266254704,9.91795862560074,9.39673106189928,1.13769268944759,0.0849670976039605,0.456131838989083,2.22044604925031e-16,1,SISTEM_SUDAH_IDEAL
35.7420631154848,28.1672106377673,5.30955940353526,1.89132989470773,0.0822997928820147,0.118950562370523,3.33066907387547e-16,1,SISTEM_SUDAH_IDEAL
1.19014908897959,24.6117324355135,2.87496057774423,27.6621679778842,0.35834953293972,96.575862763867,0.0026431621309404,1,TURUNKAN_KP_ATAU_NAIKKAN_KD
43.4689833063641,25.80632436711,5.50632368521707,2.23142092834863,0.0804092883855755,0.253270005983856,2.22044604925031e-16,1,SISTEM_SUDAH_IDEAL
22.9619249116969,25.5007330052205,3.47778352084427,3.90408968538987,0.0937574797738142,1.12465401851585,2.22044604925031e-16,1,SISTEM_SUDAH_IDEAL
